Ticker,Company,Year,MktCap_USD,Revenue,EBIT,FCF,CapEx,SBC,SharesDiluted,Price,SRC_Revenue,SRC_EBIT,SRC_FCF,SRC_CapEx,SRC_SBC,SRC_MktCap
AAPL,Apple Inc.,2021,,365820000000.0,108949000000.0,92953000000.0,11085000000.0,7906000000.0,,,manual_USD,core,core,core,core,core
AAPL,Apple Inc.,2022,,394330000000.0,119437000000.0,111443000000.0,10708000000.0,9038000000.0,,,manual_USD,core,core,core,core,core
AAPL,Apple Inc.,2023,,383290000000.0,114301000000.0,99584000000.0,10959000000.0,10833000000.0,,,manual_USD,core,core,core,core,core
AAPL,Apple Inc.,2024,,391040000000.0,123216000000.0,108807000000.0,9447000000.0,11688000000.0,,,manual_USD,core,core,core,core,core
AAPL,Apple Inc.,2025,4000000000000.0,416160000000.0,133050000000.0,98767000000.0,12715000000.0,12863000000.0,,,manual_USD,core,core,core,core,manual_USD
AMD,"ADVANCED MICRO DEVICES, INC",2021,,16430000000.0,3648000000.0,3220000000.0,301000000.0,379000000.0,,,manual_USD,core,core,core,core,core
AMD,"ADVANCED MICRO DEVICES, INC",2022,,23600000000.0,1264000000.0,3115000000.0,450000000.0,1081000000.0,,,manual_USD,core,core,core,core,core
AMD,"ADVANCED MICRO DEVICES, INC",2023,,22680000000.0,401000000.0,1121000000.0,546000000.0,1384000000.0,,,manual_USD,core,core,core,core,core
AMD,"ADVANCED MICRO DEVICES, INC",2024,,25790000000.0,1900000000.0,2405000000.0,636000000.0,1407000000.0,,,manual_USD,core,core,core,core,core
AMD,"ADVANCED MICRO DEVICES, INC",2025,350000000000.0,32020000000.0,3030000000.0,5450000000.0,960000000.0,3656000000.0,,,manual_USD,manual_USD,manual_USD,manual_USD,manual_USD,manual_USD
HOOD,"Robinhood Markets, Inc.",2021,,1815143000.0,-3684432000.0,-947955000.0,63182000.0,1570386000.0,,,core,core,core,core,core,core
HOOD,"Robinhood Markets, Inc.",2022,,1358000000.0,-1027000000.0,-880000000.0,28000000.0,654000000.0,,,core,core,core,core,core,core
HOOD,"Robinhood Markets, Inc.",2023,,1865000000.0,-533000000.0,520000000.0,21000000.0,871000000.0,,,core,core,manual_USD,manual_USD,core,core
HOOD,"Robinhood Markets, Inc.",2024,,2951000000.0,1064000000.0,-2500000000.0,50000000.0,304000000.0,,,core,core,manual_USD,manual_USD,core,core
HOOD,"Robinhood Markets, Inc.",2025,110000000000.0,4230000000.0,643000000000.0,-4360000000.0,56000000.0,757000000.0,,,manual_USD,manual_USD,manual_USD,manual_USD,manual_USD,manual_USD
LITE,Lumentum Holdings Inc.,2021,,1740000000.0,45800000.0,653900000.0,84800000.0,92900000.0,,,manual_USD,core,core,core,core,core
LITE,Lumentum Holdings Inc.,2022,,1710000000.0,303300000.0,368100000.0,91200000.0,103100000.0,,,manual_USD,core,core,core,core,core
LITE,Lumentum Holdings Inc.,2023,,1770000000.0,-115700000.0,51300000.0,128500000.0,148400000.0,,,manual_USD,core,core,core,core,core
LITE,Lumentum Holdings Inc.,2024,,1360000000.0,-434000000.0,-108300000.0,133000000.0,128800000.0,,,manual_USD,core,core,core,core,core
LITE,Lumentum Holdings Inc.,2025,22420000000.0,1650000000.0,-180100000.0,-104700000.0,231000000.0,177200000.0,,,manual_USD,core,core,core,core,manual_USD
MO,"Altria Group, Inc.",2021,,21110000000.0,11560000000.0,8236000000.0,169000000.0,0.0,,,manual_USD,core,core,core,manual_USD,core
MO,"Altria Group, Inc.",2022,,20690000000.0,11919000000.0,8051000000.0,205000000.0,0.0,,,manual_USD,core,core,core,manual_USD,core
MO,"Altria Group, Inc.",2023,,20500000000.0,11547000000.0,9091000000.0,196000000.0,0.0,,,manual_USD,core,core,core,manual_USD,core
MO,"Altria Group, Inc.",2024,,20440000000.0,11241000000.0,8611000000.0,142000000.0,0.0,,,manual_USD,core,core,core,manual_USD,core
MO,"Altria Group, Inc.",2025,98390000000.0,20170000000.0,12010000000.0,9190000000.0,171000000.0,0.0,,,manual_USD,manual_USD,manual_USD,manual_USD,manual_USD,manual_USD
MSFT,MICROSOFT CORPORATION,2021,,168090000000.0,69916000000.0,56118000000.0,20622000000.0,6118000000.0,,,manual_USD,core,core,core,core,core
MSFT,MICROSOFT CORPORATION,2022,,198270000000.0,83383000000.0,65149000000.0,23886000000.0,7502000000.0,,,manual_USD,core,core,core,core,core
MSFT,MICROSOFT CORPORATION,2023,,211910000000.0,88523000000.0,59475000000.0,28107000000.0,9611000000.0,,,manual_USD,core,core,core,core,core
MSFT,MICROSOFT CORPORATION,2024,,245120000000.0,109433000000.0,74071000000.0,44477000000.0,10734000000.0,,,manual_USD,core,core,core,core,core
MSFT,MICROSOFT CORPORATION,2025,3600000000000.0,293810000000.0,128528000000.0,71611000000.0,64551000000.0,11974000000.0,,,manual_USD,core,core,core,core,manual_USD
MU,"Micron Technology, Inc.",2021,,27700000000.0,6283000000.0,2438000000.0,10030000000.0,378000000.0,,,manual_USD,core,core,core,core,core
MU,"Micron Technology, Inc.",2022,,30760000000.0,9702000000.0,3114000000.0,12067000000.0,514000000.0,,,manual_USD,core,core,core,core,core
MU,"Micron Technology, Inc.",2023,,15540000000.0,-5745000000.0,-6117000000.0,7676000000.0,596000000.0,,,manual_USD,core,core,core,core,core
MU,"Micron Technology, Inc.",2024,,25110000000.0,1304000000.0,121000000.0,8386000000.0,833000000.0,,,manual_USD,core,core,core,core,core
MU,"Micron Technology, Inc.",2025,261660000000.0,37380000000.0,9770000000.0,1668000000.0,15857000000.0,972000000.0,,,manual_USD,core,core,core,core,manual_USD
NVDA,NVIDIA CORP,2021,,26910000000.0,4532000000.0,8130000000.0,976000000.0,1397000000.0,,,manual_USD,core,manual_USD,manual_USD,core,core
NVDA,NVIDIA CORP,2022,,26914000000.0,10041000000.0,3810000000.0,1830000000.0,2004000000.0,,,core,core,manual_USD,manual_USD,core,core
NVDA,NVIDIA CORP,2023,,26974000000.0,4224000000.0,27020000000.0,1070000000.0,2709000000.0,,,core,core,manual_USD,manual_USD,core,core
NVDA,NVIDIA CORP,2024,,60922000000.0,32972000000.0,60850000000.0,3240000000.0,3549000000.0,,,core,core,manual_USD,manual_USD,core,core
NVDA,NVIDIA CORP,2025,4150000000000.0,130497000000.0,81453000000.0,77320000000.0,5830000000.0,4737000000.0,,,core,core,manual_USD,manual_USD,core,manual_USD
PLTR,Palantir Technologies Inc.,2021,,1541889000.0,-411046000.0,321224000.0,12627000.0,778215000.0,,,core,core,core,core,core,core
PLTR,Palantir Technologies Inc.,2022,,1905871000.0,-161201000.0,183710000.0,40027000.0,564798000.0,,,core,core,core,core,core,core
PLTR,Palantir Technologies Inc.,2023,,2225012000.0,119966000.0,697069000.0,15114000.0,475903000.0,,,core,core,core,core,core,core
PLTR,Palantir Technologies Inc.,2024,,2865507000.0,310403000.0,1141231000.0,12634000.0,691638000.0,,,core,core,core,core,core,core
PLTR,Palantir Technologies Inc.,2025,447000000000.0,3900000000.0,850000000.0,1790000000.0,23000000.0,770000000.0,,,manual_USD,manual_USD,manual_USD,manual_USD,manual_USD,manual_USD
